phase	transcriber	expert	data	minute	n.TUs	TU len per min	Tok per min	AVG len per min	intonation_patterns_cum	intonation_patterns	prolongations_cum	prolongations
1	A	yes	straparla	1	26	48.861	167	1.879	2	2	11	11
1	A	yes	straparla	2	39	68.793	223.000	1.810	2	0	30	19
1	A	yes	straparla	3	41	59.923	182.000	1.675	4	2	49	19
2	A	yes	straparla	1	26	53.911	182	2.074	1	1	7	7
2	A	yes	straparla	2	32	66.238	213.000	2.072	1	0	12	5
2	A	yes	straparla	3	33	62.048	206.000	2.002	5	4	13	1
1	E	yes	parlabo	1	23	56.495	161	2.456	0	0	18	18
1	E	yes	parlabo	2	25	58.156	181.000	2.389	4	4	33	15
1	E	yes	parlabo	3	19	54.634	166.000	2.527	5	1	53	20
2	E	yes	pasti	1	35	47.742	170	1.364	9	9	8	8
2	E	yes	pasti	2	29	53.594	201.000	1.583	14	5	26	18
2	E	yes	pasti	3	28	47.6	176.000	1.619	20	6	35	9
1	I	yes	straparla	1	33	58.57	169	1.775	10	10	9	9
1	I	yes	straparla	2	34	69.86	189.000	1.917	20	10	15	6
1	I	yes	straparla	3	26	66.649	197.000	2.098	31	11	19	4
2	I	yes	parlabo	1	21	59.86	164	2.850	5	5	17	17
2	I	yes	parlabo	2	24	64.75	195.000	2.769	15	10	33	16
2	I	yes	parlabo	3	18	57.27	174.000	2.887	24	9	48	15
1	L	no	straparla	1	29	53.555	170	1.847	7	7	12	12
1	L	no	straparla	2	41	60.597	179.000	1.631	18	11	17	5
1	L	no	straparla	3	33	53.651	173.000	1.629	26	8	20	3
2	L	no	parlabo	1	32	50.88	163	1.590	9	9	13	13
2	L	no	parlabo	2	27	58.2	190.000	1.849	26	17	22	9
2	L	no	parlabo	3	23	51.12	165.000	1.954	40	14	32	10
1	M	no	parlabo	1	30	57.05	167	1.902	1	1	18	18
1	M	no	parlabo	2	27	60.214	185.000	2.057	4	3	36	18
1	M	no	parlabo	3	24	56.664	174.000	2.147	7	3	56	20
2	M	no	pasti	1	30	50.942	171	1.698	4	4	5	5
2	M	no	pasti	2	27	53.016	192.000	1.824	7	3	26	21
2	M	no	pasti	3	28	49.863	181.000	1.810	10	3	44	18
1	N	no	parlabo	1	24	55.854	169	2.327	3	3	12	12
1	N	no	parlabo	2	24	53.142	177.000	2.271	4	1	30	18
1	N	no	parlabo	3	17	53.966	155.000	2.507	21	17	41	11
2	N	no	straparla	1	25	58.69	144	2.348	2	2	4	4
2	N	no	straparla	2	22	61.812	177.000	2.564	3	1	10	6
2	N	no	straparla	3	28	70.16	199.000	2.542	5	2	18	8
1	O	yes	pasti	1	36	47.2	166	1.311	8	8	4	4
1	O	yes	pasti	2	31	54.36	193.000	1.516	8	0	13	9
1	O	yes	pasti	3	26	47.58	176.000	1.604	12	4	15	2
2	O	yes	straparla	1	22	58.23	178	2.647	0	0	8	8
2	O	yes	straparla	2	28	66.35	181.000	2.492	2	2	14	6
2	O	yes	straparla	3	30	58.38	169.000	2.287	3	1	23	9
1	R	no	pasti	1	29	49.618	164	1.711	5	5	4	4
1	R	no	pasti	2	27	56.725	192.000	1.899	5	0	6	2
1	R	no	pasti	3	27	47.86	176.000	1.858	9	4	6	0
2	R	no	straparla	1	18	58.853	184	3.270	0	0	4	4
2	R	no	straparla	2	30	60.546	174.000	2.487	1	1	7	3
2	R	no	straparla	3	31	57.619	171.000	2.241	5	4	14	7
1	S	yes	straparla	1	23	56.291	143	2.447	4	4	8	8
1	S	yes	straparla	2	19	75.36	200.000	3.135	5	1	23	15
1	S	yes	straparla	3	17	57.425	158.000	3.205	9	4	29	6
2	S	yes	parlabo	1	14	52.954	147	3.782	1	1	8	8
2	S	yes	parlabo	2	13	59.967	158.000	4.182	2	1	16	8
2	S	yes	parlabo	3	15	59.817	150.000	4.113	6	4	23	7
1	U	no	straparla	1	58	53.673	136	0.925	4	4	9	9
1	U	no	straparla	2	64	57.902	177.000	0.915	4	0	21	12
1	U	no	straparla	3	29	24.468	70.000	0.901	7	3	32	11
2	U	no	pasti	1	36	47.49	159	1.319	1	1	3	3
2	U	no	pasti	2	35	58.005	224.000	1.486	1	0	7	4
2	U	no	pasti	3	36	50.483	180.000	1.458	6	5	12	5
1	V	no	pasti	1	21	59.519	166	2.834	4	4	6	6
1	V	no	pasti	2	21	65.296	255.000	2.972	7	3	13	7
1	V	no	pasti	3	24	64.385	202.000	2.867	12	5	19	6
2	V	no	straparla	1	18	51.752	163	2.875	5	5	9	9
2	V	no	straparla	2	22	66.487	194.000	2.956	6	1	11	2
2	V	no	straparla	3	29	58.714	189.000	2.565	7	1	11	0
